Codigo da UC,Unidade Curricular,Codigo de Aluno,Nome,Email,Genero,Regimes especiais de frequencia
2,DSS,A200000,Joao Mendes,a200000@alunos.uminho.pt,M,
7,POO,A200001,Ana Soares,a200001@alunos.uminho.pt,F,
2,DSS,A200002,Pedro Silva,a200002@alunos.uminho.pt,M,TE
2,DSS,A200003,Carla Costa,a200003@alunos.uminho.pt,F,
7,POO,A200004,Tiago Martins,a200004@alunos.uminho.pt,M,
2,DSS,A200005,Mariana Lopes,a200005@alunos.uminho.pt,F,AUM
7,POO,A200006,Rui Fernandes,a200006@alunos.uminho.pt,M,
2,DSS,A200007,Beatriz Figueiredo,a200007@alunos.uminho.pt,F,
2,DSS,A200008,Carlos Alves,a200008@alunos.uminho.pt,M,
7,POO,A200009,Sara Marques,a200009@alunos.uminho.pt,F,
2,DSS,A200010,Paulo Ribeiro,a200010@alunos.uminho.pt,M,DLG
2,DSS,A200011,Clara Oliveira,a200011@alunos.uminho.pt,F,
2,DSS,A200012,Luis Gomes,a200012@alunos.uminho.pt,M,
7,POO,A200013,Joana Santos,a200013@alunos.uminho.pt,F,
2,DSS,A200014,Bruno Ferreira,a200014@alunos.uminho.pt,M,AUM
2,DSS,A200015,Ines Araujo,a200015@alunos.uminho.pt,F,
7,POO,A200016,Victor Lima,a200016@alunos.uminho.pt,M,
2,DSS,A200017,Raquel Nunes,a200017@alunos.uminho.pt,F,
2,DSS,A200018,John Smith,a200018@alunos.uminho.pt,M,EINT
2,DSS,A200019,Emily Johnson,a200019@alunos.uminho.pt,F,
2,DSS,A200020,James Miller,a200020@alunos.uminho.pt,M,EINT
7,POO,A200021,Daniel Costa,a200021@alunos.uminho.pt,M,
2,DSS,A200022,Michael Brown,a200022@alunos.uminho.pt,M,EINT
2,DSS,A200023,Hugo Fernandes,a200023@alunos.uminho.pt,M,
7,POO,A200024,Alexandre Gomes,a200024@alunos.uminho.pt,M,
2,DSS,A200025,Richard Taylor,a200025@alunos.uminho.pt,M,EINT
7,POO,A200026,Sara Cardoso,a200026@alunos.uminho.pt,F,
2,DSS,A200027,Joao Ferreira,a200027@alunos.uminho.pt,M,
2,DSS,A200028,Patrick Wilson,a200028@alunos.uminho.pt,M,EINT
7,POO,A200029,Filipe Oliveira,a200029@alunos.uminho.pt,M,
2,DSS,A200030,Carlos Mendes,a200030@alunos.uminho.pt,M,
2,DSS,A200031,Tiago Sousa,a200031@alunos.uminho.pt,M,
7,POO,A200032,Luis Almeida,a200032@alunos.uminho.pt,M,
2,DSS,A200033,Chris Evans,a200033@alunos.uminho.pt,M,EINT
2,DSS,A200034,Bruno Nogueira,a200034@alunos.uminho.pt,M,
7,POO,A200035,Maria Antunes,a200035@alunos.uminho.pt,F,
2,DSS,A200036,Joao Pinto,a200036@alunos.uminho.pt,M,
7,POO,A200037,Marco Lima,a200037@alunos.uminho.pt,M,
2,DSS,A200038,Leonardo Martins,a200038@alunos.uminho.pt,M,
7,POO,A200039,Edward Carter,a200039@alunos.uminho.pt,M,EINT
2,DSS,A200040,Sophia Rodriguez,a200040@alunos.uminho.pt,F,EINT
7,POO,A200041,Victor Ferreira,a200041@alunos.uminho.pt,M,
2,DSS,A200042,Francisco Araujo,a200042@alunos.uminho.pt,M,
7,POO,A200043,Rafael Teixeira,a200043@alunos.uminho.pt,M,
2,DSS,A200044,Tomas Marques,a200044@alunos.uminho.pt,M,
2,DSS,A200045,Miguel Silva,a200045@alunos.uminho.pt,M,
7,POO,A200046,Matthew Johnson,a200046@alunos.uminho.pt,M,EINT
7,POO,A200047,Helena Ramos,a200047@alunos.uminho.pt,F,
2,DSS,A200048,Jorge Cunha,a200048@alunos.uminho.pt,M,
2,DSS,A200049,Gabriel Duarte,a200049@alunos.uminho.pt,M,
7,POO,A200050,Roberto Matos,a200050@alunos.uminho.pt,M,
2,DSS,A200051,Diogo Martins,a200051@alunos.uminho.pt,M,
7,POO,A200052,Carlos Lima,a200052@alunos.uminho.pt,M,
2,DSS,A200053,Pedro Moreira,a200053@alunos.uminho.pt,M,
7,POO,A200054,Nuno Vieira,a200054@alunos.uminho.pt,M,
2,DSS,200055A,Miguel Correia,a200055@alunos.uminho.pt,M,
7,POO,A200056,Ricardo Monteiro,a200056@alunos.uminho.pt,M,
2,DSS,A200057,Diana Costa,a200057@alunos.uminho.pt,F,
7,POO,A200058,Jessica Taylor,a200058@alunos.uminho.pt,F,EINT
2,DSS,A200059,Andre Figueiredo,a200059@alunos.uminho.pt,M,
7,POO,A200060,Fernando Sousa,a200060@alunos.uminho.pt,M,
2,DSS,A200061,Patricia Almeida,a200061@alunos.uminho.pt,F,
7,POO,A200062,Joana Torres,a200062@alunos.uminho.pt,F,
2,DSS,A200063,Ethan Campbell,a200063@alunos.uminho.pt,M,EINT
7,POO,A200064,Leonor Carvalho,a200064@alunos.uminho.pt,F,
2,DSS,A200065,Paulo Matias,a200065@alunos.uminho.pt,M,
7,POO,A200066,Rui Oliveira,a200066@alunos.uminho.pt,M,
2,DSS,A200067,Lucas Barbosa,a200067@alunos.uminho.pt,M,
7,POO,A200068,Hugo Monteiro,a200068@alunos.uminho.pt,M,
2,DSS,A200069,Gabriel Santos,a200069@alunos.uminho.pt,M,
7,POO,A200070,Tomas Xavier,a200070@alunos.uminho.pt,M,
2,DSS,A200071,Diego Martinez,a200071@alunos.uminho.pt,M,EINT
7,POO,A200072,Alex Silva,a200072@alunos.uminho.pt,M,
2,DSS,A200073,Clara Fonseca,a200073@alunos.uminho.pt,F,
7,POO,A200074,Mateus Braga,a200074@alunos.uminho.pt,M,
2,DSS,A200075,Bruno Ferreira,a200075@alunos.uminho.pt,M,
7,POO,A200076,Nathan Collins,a200076@alunos.uminho.pt,M,EINT
2,DSS,A200077,Vanessa Simoes,a200077@alunos.uminho.pt,F,
7,POO,A200078,Beatriz Figueiredo,a200078@alunos.uminho.pt,F,
2,DSS,A200079,Joao Andrade,a200079@alunos.uminho.pt,M,
7,POO,A200080,Eduardo Lopes,a200080@alunos.uminho.pt,M,
3,DSS,A200051,Diogo Martins,a200051@alunos.uminho.pt,M,
2,POO,A200052,Carlos Lima,a200052@alunos.uminho.pt,M,
2,DSS,A200053,Pedro Moreira,a200053@alunos.uminho.pt,M,
7,POO,A200054,Nuno Vieira,a200054@alunos.uminho.pt,M,
2,DSS,A200055,Miguel Correia,a200055@alunos.uminho.pt,M,
7,POO,A200056,Ricardo Monteiro,a200056@alunos.uminho.pt,M,
2,DSS,A200057,Diana Costa,a200057@alunos.uminho.pt,F,
7,POO,A200058,Jessica Taylor,a200058@alunos.uminho.pt,F,EINT
2,DSS,A200059,Andre Figueiredo,a200059@alunos.uminho.pt,M,
7,POO,A200060,Fernando Sousa,a200060@alunos.uminho.pt,M,
2,DSS,A200061,Patricia Almeida,a200061@alunos.uminho.pt,F,
7,POO,A200062,Joana Torres,a200062@alunos.uminho.pt,F,
2,DSS,A200063,Ethan Campbell,a200063@alunos.uminho.pt,M,EINT
7,POO,A200064,Leonor Carvalho,a200064@alunos.uminho.pt,F,
2,DSS,A200065,Paulo Matias,a200065@alunos.uminho.pt,M,
7,POO,A200066,Rui Oliveira,a200066@alunos.uminho.pt,M,
2,DSS,A200067,Lucas Barbosa,a200067@alunos.uminho.pt,M,
7,POO,A200068,Hugo Monteiro,a200068@alunos.uminho.pt,M,
2,DSS,A200069,Gabriel Santos,a200069@alunos.uminho.pt,M,
7,POO,A200070,Tomas Xavier,a200070@alunos.uminho.pt,M,
2,DSS,A200071,Diego Martinez,a200071@alunos.uminho.pt,M,EINT
7,POO,A200072,Alex Silva,a200072@alunos.uminho.pt,M,
2,DSS,A200073,Clara Fonseca,a200073@alunos.uminho.pt,F,
7,POO,A200074,Mateus Braga,a200074@alunos.uminho.pt,M,
2,DSS,A200075,Bruno Ferreira,a200075@alunos.uminho.pt,M,
7,POO,A200076,Nathan Collins,a200076@alunos.uminho.pt,M,EINT
2,DSS,A200077,Vanessa Simoes,a200077@alunos.uminho.pt,F,
7,POO,A200078,Beatriz Figueiredo,a200078@alunos.uminho.pt,F,
2,DSS,A200079,Joao Andrade,a200079@alunos.uminho.pt,M,
7,POO,A200080,Eduardo Lopes,a200080@alunos.uminho.pt,M,
1,CP,A200051,Diogo Martins,a200051@alunos.uminho.pt,M,
8,BD,A200052,Carlos Lima,a200052@alunos.uminho.pt,M,
2,PF,A200053,Pedro Moreira,a200053@alunos.uminho.pt,M,
1,CP,A200054,Nuno Vieira,a200054@alunos.uminho.pt,M,
8,BD,A200055,Miguel Correia,a200055@alunos.uminho.pt,M,
9,PF,A200056,Ricardo Monteiro,a200056@alunos.uminho.pt,M,
1,CP,A200057,Diana Costa,a200057@alunos.uminho.pt,F,
8,BD,A200058,Jessica Taylor,a200058@alunos.uminho.pt,F,EINT
2,PF,A200059,Andre Figueiredo,a200059@alunos.uminho.pt,M,
1,CP,A200060,Fernando Sousa,a200060@alunos.uminho.pt,M,
8,BD,A200061,Patricia Almeida,a200061@alunos.uminho.pt,F,
9,PF,A200062,Joana Torres,a200062@alunos.uminho.pt,F,
1,CP,A200063,Ethan Campbell,a200063@alunos.uminho.pt,M,EINT
8,BD,A200064,Leonor Carvalho,a200064@alunos.uminho.pt,F,
2,PF,A200065,Paulo Matias,a200065@alunos.uminho.pt,M,
1,CP,A200066,Rui Oliveira,a200066@alunos.uminho.pt,M,
8,BD,A200067,Lucas Barbosa,a200067@alunos.uminho.pt,M,
9,PF,A200068,Hugo Monteiro,a200068@alunos.uminho.pt,M,
1,CP,A200069,Gabriel Santos,a200069@alunos.uminho.pt,M,
8,BD,A200070,Tomas Xavier,a200070@alunos.uminho.pt,M,
2,PF,A200071,Diego Martinez,a200071@alunos.uminho.pt,M,EINT
1,CP,A200072,Alex Silva,a200072@alunos.uminho.pt,M,
8,BD,A200073,Clara Fonseca,a200073@alunos.uminho.pt,F,
9,PF,A200074,Mateus Braga,a200074@alunos.uminho.pt,M,
1,CP,A200075,Bruno Ferreira,a200075@alunos.uminho.pt,M,
8,BD,A200076,Nathan Collins,a200076@alunos.uminho.pt,M,EINT
2,PF,A200077,Vanessa Simoes,a200077@alunos.uminho.pt,F,
1,CP,A200078,Beatriz Figueiredo,a200078@alunos.uminho.pt,F,
8,BD,A200079,Joao Andrade,a200079@alunos.uminho.pt,M,
9,PF,A200080,Eduardo Lopes,a200080@alunos.uminho.pt,M,
9,PF,A200081,Gabriel Alves,a200081@alunos.uminho.pt,M,
10,PI,A200082,Joao Pires,a200082@alunos.uminho.pt,M,
8,BD,A200083,Sara Ribeiro,a200083@alunos.uminho.pt,F,
1,CP,A200084,Henrique Castro,a200084@alunos.uminho.pt,M,
9,PF,A200085,Beatriz Nogueira,a200085@alunos.uminho.pt,F,
10,PI,A200086,Lucas Teixeira,a200086@alunos.uminho.pt,M,
8,BD,A200087,Isabela Santos,a200087@alunos.uminho.pt,F,
1,CP,A200088,Andre Neves,a200088@alunos.uminho.pt,M,
9,PF,A200089,Tiago Matos,a200089@alunos.uminho.pt,M,
10,PI,A200090,Pedro Carvalho,a200090@alunos.uminho.pt,M,
8,BD,A200091,Rafael Lopes,a200091@alunos.uminho.pt,M,
1,CP,A200092,Claudia Ferreira,a200092@alunos.uminho.pt,F,
9,PF,A200093,Mariana Oliveira,a200093@alunos.uminho.pt,F,
10,PI,A200094,Eduardo Correia,a200094@alunos.uminho.pt,M,
8,BD,A200095,Leonor Marques,a200095@alunos.uminho.pt,F,
1,CP,A200096,Ricardo Silva,a200096@alunos.uminho.pt,M,
9,PF,A200097,Vanessa Araujo,a200097@alunos.uminho.pt,F,
10,PI,A200098,Lara Barros,a200098@alunos.uminho.pt,F,
8,BD,A200099,Aline Costa,a200099@alunos.uminho.pt,F,
1,CP,A200100,Filipe Pereira,a200100@alunos.uminho.pt,M,
9,PF,A200101,Davi Xavier,a200101@alunos.uminho.pt,M,
10,PI,A200102,Melissa Lima,a200102@alunos.uminho.pt,F,
8,BD,A200103,Bruno Almeida,a200103@alunos.uminho.pt,M,
1,CP,A200104,Luis Fernandes,a200104@alunos.uminho.pt,M,
9,PF,A200105,Fernando Ribeiro,a200105@alunos.uminho.pt,M,
10,PI,A200106,Sofia Oliveira,a200106@alunos.uminho.pt,F,
8,BD,A200107,Matheus Andrade,a200107@alunos.uminho.pt,M,
1,CP,A200108,Tiago Costa,a200108@alunos.uminho.pt,M,
9,PF,A200109,Alice Fernandes,a200109@alunos.uminho.pt,F,
10,PI,A200110,Joana Barbosa,a200110@alunos.uminho.pt,F,
8,BD,A200111,Rodrigo Mendes,a200111@alunos.uminho.pt,M,
1,CP,A200112,Gustavo Torres,a200112@alunos.uminho.pt,M,
9,PF,A200113,Felipe Gomes,a200113@alunos.uminho.pt,M,
10,PI,A200114,Sergio Almeida,a200114@alunos.uminho.pt,M,
8,BD,A200115,Marina Silva,a200115@alunos.uminho.pt,F,
1,CP,A200116,Antonio Pereira,a200116@alunos.uminho.pt,M,
9,PF,A200117,Camila Nunes,a200117@alunos.uminho.pt,F,
